Date & Time,Event Name,Location,Additional Info,Remaining Requirement
Wednesday - 01 April 2026 10:00–12:00,"Community AwarenessManor Road, Washington, Tyne and Wear NE37 3BL",REQ,,
Wednesday - 01 April 2026 10:00–12:00,"Emergency First Aid Demonstration and TalkThe Angle Inn, Main Street , Corbridge, Whitley Bay NE45 5LA",REQ,,
Thursday - 02 April 2026 11:00–15:00,"NSYC Easter Egg Trail & Hook a Duck - NER041Sandall Park, Wheatley, Doncaster, South Yorkshire DN5 2DZ",REQ,,2× CFA
Thursday - 02 April 2026 14:30–16:30,"Beverley Races - Pre season tabletop exerciseBeverley Racecourse, York Road, Beverley, East Riding of Yorkshire HU17 8QZ",REQ,,
Friday - 03 April 2026 09:00–17:00,"NNYC Sutton Bank 50th Birthday Party - NER010Sutton Bank National Park Centre, Sutton Bank, Thirsk, North Yorkshire YO7 2EH",REQ,,2× CFA
Friday - 03 April 2026 09:00–16:30,"SAL Event North York Moors Sutton bank Centre Open DayNorth York Moors Visitor Centre, Sutton Bank YO72EX",REQ,,
Friday - 03 April 2026 09:45–10:45,"NNDC South Shields Sunday School Good Friday Procession of Witness - NER020South Shields Old Town Hall, South Shields Market Place, South Shields.. NE33 1JF",REQ,,2× CFA
Friday - 03 April 2026 10:30–14:30,"NEHM - Hull Kingston Rovers v Wakefield - NER109Sewell Group Craven Park, Poorhouse Lane, Hull HU9 5HE",REQ,,"5× CFA, 5× ER"
Friday - 03 April 2026 11:00–17:00,"NWYC Heptonstall Pace Egg - NER033Weaver Square, Heptonstall, West Yorkshire HX7 7NJ",REQ,,"1× CDT, 2× CFA"
Friday - 03 April 2026 13:30–17:30,"NSYM - Rotherham United v Stevenage - NER104New York Stadium, New York Way, Rotherham S60 1AH",REQ,,"4× CDT, 7× CFA, 5× ER"
Friday - 03 April 2026 13:30–17:30,"NWYM - Bradford City v Northampton - NER101University of Bradford Stadium, Valley Parade, Bradford, West Yorkshir.. BD8 7DY",REQ,,"10× CFA, 8× ER"
Friday - 03 April 2026 13:30–17:30,"NSYM Doncaster Rovers v Mansfield - NER103Eco Power Stadium, Stadium Way, Doncaster, South Yorkshire DN4 5JW",REQ,,"8× CDT, 11× FA, 1× AFA"
